extension_nm,force_pN
inf,1.9490038
inf,1.9505216
inf,1.9489845
inf,1.9489845
inf,1.9501929
inf,1.9506938
inf,1.9512731
inf,1.9469789
inf,1.9510437
inf,1.9488199
inf,1.9494612
inf,1.9495063
inf,1.9457982
inf,1.9497732
inf,1.9528065
inf,1.9475056
inf,1.9534694
inf,1.949036
inf,1.9484831
inf,1.9493599
inf,1.9497344
inf,1.9486294
inf,1.9493158
inf,1.9506183
inf,1.9501607
inf,1.9472831
inf,1.9469661
inf,1.9501736
inf,1.9494234
inf,1.9510889
inf,1.950262
inf,1.9483949
inf,1.9511644
inf,1.9472133
inf,1.9475231
inf,1.9495946
inf,1.9447643
inf,1.9500153
inf,1.948312
inf,1.9499002
-inf,1.9510069
-inf,1.9519733
-inf,1.9493535
-inf,1.947467
-inf,1.9482036
-inf,1.9478164
-inf,1.9505161
-inf,1.949221
-inf,1.9492707
-inf,1.9517374
-inf,1.9478679
-12.378082,1.9494041
-12.317603,1.9489533
-12.80969,1.9495817
-12.946489,1.9485457
-12.723199,1.9472638
-12.78746,1.9472133
-13.068563,1.9493922
-12.992129,1.9481852
-13.196615,1.9517881
-13.146876,1.9471048
-12.956104,1.9506174
-12.83126,1.952494
-13.062016,1.9506247
-12.778066,1.9485788
-12.878435,1.9478421
-12.954439,1.951216
-12.846846,1.9528645
-12.816449,1.9478099
-13.043426,1.9486229
-12.870722,1.9494731
-12.617599,1.9502748
-12.275803,1.9487885
-12.253648,1.9507067
-12.443831,1.9481595
-12.446447,1.9497143
-12.305693,1.9496775
-12.363759,1.9502372
-12.23186,1.9508283
-12.468475,1.947239
-12.668295,1.9481714
-12.38307,1.9498615
-12.488481,1.9481907
-12.264964,1.9515338
-12.023997,1.9498873
-12.132998,1.9484316
-12.001258,1.9492965
-12.264289,1.9526148
-12.569339,1.9486358
-12.628807,1.9487563
-12.577972,1.9505409
-12.574072,1.9480187
-12.624733,1.9533736
-12.52305,1.9475048
-12.810366,1.9483112
-13.135798,1.9525198
-13.005086,1.9502113
-13.106518,1.9484316
-13.218227,1.949868
-12.883255,1.9495246
-12.82396,1.9498808
-12.717916,1.9522719
-12.554047,1.9491446
-12.484202,1.9490802
-12.537869,1.9515973
-12.543949,1.9473079
-12.554368,1.9510382
-12.490414,1.9521134
-12.509808,1.9481659
-12.29599,1.9456779
-12.217559,1.9490167
-12.644332,1.9497032
-13.096268,1.9503448
-12.958991,1.9504839
-13.135549,1.948312
-12.851648,1.9482477
-13.03491,1.9518139
-13.326884,1.9474679
-13.658565,1.9482799
-13.631459,1.9491879
-13.902967,1.9521825
-13.715585,1.9479626
-13.60046,1.9488502
-13.595356,1.9475553
-13.870879,1.9489845
-13.94279,1.9503384
-13.982632,1.9533864
-14.138226,1.9520047
-14.211326,1.9506118
-13.950294,1.9473778
-13.725744,1.9512095
-13.77272,1.9520618
-13.580638,1.9491115
-13.614333,1.9482853
-13.717332,1.9479562
-13.805787,1.9499766
-13.711401,1.9504774
-13.815726,1.9511451
-13.526134,1.9473273
-13.338441,1.9489266
