strain,stress_MPa
-0,-0.0054549614
4.2655234e-06,0.32541065
4.9863114e-06,0.025258371
6.3582964e-06,0.38650789
6.6824893e-06,0.20989191
8.8280948e-06,0.090144263
9.3731006e-06,0.1487977
1.2481868e-05,0.44241469
1.3013671e-05,0.91798023
1.3849671e-05,0.50688381
1.388698e-05,0.56257601
1.4620571e-05,0.79261836
1.4734843e-05,1.264314
1.5684333e-05,1.1024544
1.5744159e-05,0.73130413
1.5980312e-05,0.26566446
1.6942232e-05,0.97553702
2.0202207e-05,0.61682344
2.0571433e-05,0.85115235
2.1688791e-05,1.3777247
2.2360816e-05,0.67450437
2.2517467e-05,1.1583426
2.2713015e-05,1.2124183
2.2820856e-05,1.7817472
2.2864081e-05,1.6753291
2.4677105e-05,1.0424022
2.5750165e-05,1.4396648
2.6107223e-05,1.3223235
2.725601e-05,1.4985696
2.7524287e-05,1.9614782
2.9084316e-05,2.1443509
2.9708388e-05,1.6247322
3.0077266e-05,2.3622149
3.0471937e-05,1.9013348
3.088268e-05,1.5614276
3.1343955e-05,2.0280501
3.2577358e-05,2.0868033
3.2921862e-05,1.7294057
3.4613999e-05,1.8406675
3.6828786e-05,2.3097056
3.6983939e-05,2.7721069
3.9936744e-05,2.6017288
4.0841582e-05,2.4226464
4.1059473e-05,2.2010694
4.2558967e-05,2.997342
4.3120945e-05,2.9374406
4.4105775e-05,2.2555135
4.4302624e-05,2.4817182
4.520783e-05,2.8253982
4.557329e-05,3.0579352
4.5959336e-05,2.7221156
4.6077463e-05,3.6312533
4.6235791e-05,2.5373213
4.6810847e-05,2.881273
4.954075e-05,2.6663609
5.0607773e-05,3.2285691
5.1469393e-05,3.3880972
5.1605995e-05,3.4490752
5.178753e-05,3.2788577
5.2162686e-05,3.1731323
5.244646e-05,4.0147745
5.3541399e-05,3.3313685
5.6751461e-05,3.6876523
5.7041178e-05,3.1157829
6.009196e-05,3.8986137
6.1054794e-05,3.8451952
6.1912305e-05,4.2459075
6.2068794e-05,4.304796
6.3265608e-05,4.7454675
6.34674e-05,3.7395458
6.4235063e-05,3.9568166
6.4678785e-05,4.1928575
6.5203601e-05,4.0796293
6.5593405e-05,4.1341595
6.5961697e-05,3.5667215
6.8083572e-05,4.3511304
6.8296641e-05,4.5751621
6.8886203e-05,4.4072276
6.9068051e-05,3.7938965
6.9468075e-05,3.5082819
7.0370288e-05,4.5194224
7.1358908e-05,4.7937705
7.1845299e-05,4.6334993
7.3779474e-05,4.4589946
7.5540346e-05,4.8516553
