stress_MPa,vT_m_s
-0.0054549614,3122.4616
0.025258371,3122.4529
0.090144263,3122.6943
0.1487977,3122.7797
0.20989191,3122.9778
0.26566446,3123.1887
0.32541065,3123.2209
0.38650789,3122.9409
0.44241469,3123.1514
0.50688381,3123.2247
0.56257601,3123.5539
0.61682344,3123.4321
0.67450437,3123.5818
0.73130413,3123.5769
0.79261836,3123.5859
0.85115235,3123.5301
0.91798023,3123.4307
0.97553702,3123.427
1.0424022,3123.3936
1.1024544,3123.2896
1.1583426,3123.2517
1.2124183,3123.228
1.264314,3123.1662
1.3223235,3123.0602
1.3777247,3123.0588
1.4396648,3122.9681
1.4985696,3122.9368
1.5614276,3122.9116
1.6247322,3122.8038
1.6753291,3122.8303
1.7294057,3122.8086
1.7817472,3122.8013
1.8406675,3122.6648
1.9013348,3122.6184
1.9614782,3122.5591
2.0280501,3122.4795
2.0868033,3122.5013
2.1443509,3122.3804
2.2010694,3122.3839
2.2555135,3122.2919
2.3097056,3122.2743
2.3622149,3122.1435
2.4226464,3122.0275
2.4817182,3122.0614
2.5373213,3122.1235
2.6017288,3122.2658
2.6663609,3122.293
2.7221156,3122.4567
2.7721069,3122.6109
2.8253982,3122.4248
2.881273,3122.5508
2.9374406,3122.671
2.997342,3122.7611
3.0579352,3122.9067
3.1157829,3122.9141
3.1731323,3122.9472
3.2285691,3123.0232
3.2788577,3123.1118
3.3313685,3123.6125
3.3880972,3123.2715
3.4490752,3123.1108
3.5082819,3123.4207
3.5667215,3123.5102
3.6312533,3123.5651
3.6876523,3123.6397
3.7395458,3123.478
3.7938965,3123.4141
3.8451952,3123.3802
3.8986137,3123.2412
3.9568166,3123.3063
4.0147745,3123.1442
4.0796293,3123.1196
4.1341595,3123.027
4.1928575,3122.9512
4.2459075,3122.8606
4.304796,3122.7671
4.3511304,3122.7385
4.4072276,3122.8004
4.4589946,3122.7423
4.5194224,3122.7313
4.5751621,3122.7688
4.6334993,3122.56
4.6941455,3122.5494
4.7454675,3122.5138
4.7937705,3122.4583
4.8516553,3122.3974
4.9071826,3122.2598
4.9621185,3122.3456
5.0316924,3122.2981
5.0880439,3122.1466
5.1471743,3122.1611
5.2037227,3122.0339
5.2541894,3121.9806
5.3015449,3121.9914
5.3582369,3122.0068
5.4140204,3122.1871
5.4697056,3122.1837
5.5239922,3122.2239
5.58119,3122.2739
5.6432003,3122.3444
5.6994755,3122.2615
5.7534187,3122.5222
5.8048142,3122.4534
5.8576301,3122.5922
5.9117714,3122.7261
5.9692861,3122.5776
6.0299007,3122.6129
6.0963666,3122.6794
6.1487859,3122.7406
6.2055312,3122.9392
6.2584481,3122.7717
6.3115221,3122.8037
6.3604774,3122.8886
6.4114267,3122.8094
6.4641767,3122.9069
6.523039,3122.9043
6.5868722,3122.9805
6.6427228,3122.954
6.6985831,3123.1673
6.751844,3123.2168
6.8027415,3123.2135
6.8596555,3123.1611
6.9139777,3123.2168
6.9694849,3123.3049
7.0333745,3123.0717
7.0892897,3123.4632
7.1408049,3123.337
7.1972443,3123.4143
7.2492528,3123.4065
7.2928588,3123.3627
7.3521467,3123.3029
7.4061367,3123.2894
7.4646971,3123.2399
7.522114,3123.2928
7.5868408,3123.191
7.6462281,3123.1846
7.7027016,3123.0236
7.7560219,3123.0419
7.8053724,3122.9942
7.853632,3122.9592
7.9061061,3122.9928
7.9631136,3122.9922
8.0193884,3123.0312
8.0815938,3122.8757
8.1316874,3122.8624
8.1910977,3122.7448
8.2427664,3122.7429
8.2924632,3122.7113
8.342407,3122.6765
8.3975175,3122.666
8.4566964,3122.604
8.516281,3122.5344
8.571298,3122.3692
8.6264493,3122.4291
8.682409,3122.4025
8.7344366,3122.3153
8.7810165,3122.3442
8.8385261,3122.251
8.8936076,3122.1474
8.9575395,3122.0712
9.0129703,3122.084
9.0680312,3121.9499
9.1203614,3121.9112
9.173279,3121.8157
9.2249269,3121.8952
9.2756264,3121.9841
9.3315675,3122.2923
9.3879603,3122.2445
9.4484407,3122.4918
9.5119453,3122.5079
9.5632121,3122.6754
9.6186808,3122.8133
9.6702324,3122.8223
9.7207939,3122.9662
9.763955,3122.9711
9.8217426,3123.0774
9.873424,3123.3266
9.9304878,3123.25
9.9951361,3123.2296
10.04825,3123.1456
10.104078,3123.1215
10.162223,3122.9479
10.211353,3123.0207
10.258364,3122.9487
10.309386,3122.8185
10.359856,3122.7168
10.414308,3122.6233
10.468182,3122.5254
10.527606,3122.5101
10.581267,3122.3848
10.630273,3122.2453
10.686129,3122.1853
10.73263,3122.1461
10.786177,3122.0893
10.846394,3121.9638
10.904461,3121.7868
10.960935,3121.7911
11.01432,3121.7204
11.070015,3121.7678
11.115222,3121.7934
11.161051,3121.8787
11.213717,3122.025
11.268644,3122.1192
11.32064,3122.2424
11.375252,3122.4232
11.435541,3122.2709
11.483186,3122.4525
11.538323,3122.6416
11.588071,3122.6862
11.633452,3122.6726
11.68555,3122.7951
11.740207,3122.7322
11.793977,3122.6642
11.848879,3122.9274
11.911574,3123.0179
11.957966,3123.0825
12.014187,3123.0254
12.064441,3123.1955
12.115019,3123.1066
12.161203,3123.1365
12.213749,3123.0493
12.263426,3123.0093
12.320905,3122.9951
12.380827,3123.0021
12.434082,3122.9662
12.487105,3122.8921
12.534785,3122.8472
12.586458,3122.8733
12.640303,3122.7226
12.69613,3122.5923
12.754741,3122.8175
12.813204,3122.6443
12.866661,3122.6703
12.91861,3122.5777
12.969287,3122.6484
13.017781,3122.5648
13.065905,3122.516
13.120935,3122.4735
13.174508,3122.3642
13.228204,3122.3586
13.293244,3122.2744
13.352264,3122.1903
13.407991,3122.3185
13.45862,3122.1951
13.509572,3122.2214
13.557135,3122.2484
13.611267,3122.1585
13.664215,3122.0929
13.72542,3122.0958
13.780293,3122.0818
13.833985,3122.0162
13.885836,3121.8128
13.940391,3121.8468
13.991475,3121.7996
14.044916,3121.8051
14.09292,3121.7571
14.150605,3121.6981
14.203405,3121.7168
14.259879,3121.7324
14.319362,3121.6732
14.379686,3121.5868
14.432932,3121.6551
14.481585,3121.5807
14.531148,3121.5836
14.587782,3121.558
14.641149,3121.591
14.699916,3121.6381
14.756254,3121.6337
14.80851,3121.5146
14.861446,3121.8022
14.91229,3121.6385
14.956549,3121.7057
15.009408,3121.8032
15.064705,3121.7404
15.120283,3121.6409
15.174834,3121.7657
15.236335,3121.8239
15.288879,3121.5073
15.338263,3121.8552
15.392668,3121.904
15.440586,3121.8436
15.488286,3121.8428
15.538875,3121.816
15.597435,3121.9548
15.65092,3121.9328
15.711739,3122.013
15.764591,3121.898
15.819989,3122.0118
15.874134,3121.9563
15.928611,3121.8751
15.981944,3122.0257
16.026321,3121.9877
16.080204,3122.1059
16.133745,3121.9527
16.19579,3122.0935
16.25678,3122.2256
16.306474,3122.1815
16.358715,3122.1728
16.411276,3122.273
16.459273,3122.2308
16.512561,3122.2084
16.572966,3122.2648
16.629816,3122.3795
16.684231,3122.2258
16.741026,3122.2181
16.794044,3122.3688
16.842834,3122.4686
16.887717,3122.337
16.942997,3122.4454
16.997265,3122.3546
17.052303,3122.5995
17.100659,3122.5007
17.154092,3122.3845
17.215338,3122.4126
17.273205,3122.5403
17.320951,3122.5164
17.373996,3122.6317
17.421285,3122.4651
17.477218,3122.5326
17.535432,3122.529
17.597151,3122.5947
17.652309,3122.4732
17.702599,3122.7666
17.755681,3122.7459
17.809342,3122.7085
17.863388,3122.8731
17.913786,3122.6888
17.957276,3122.7542
18.012304,3122.7924
18.066598,3122.7061
18.122255,3122.7533
18.179348,3122.8654
18.230112,3122.8259
18.278727,3122.8264
18.327078,3122.9646
18.381879,3122.9982
18.443237,3122.6346
18.505541,3123.0161
18.559296,3122.8973
18.613786,3122.9902
18.666923,3122.9356
18.72072,3122.987
18.765431,3122.7836
18.81151,3122.8098
18.866384,3122.8107
18.919312,3122.7803
18.976277,3122.7554
19.034697,3122.8216
19.089306,3122.7242
19.144633,3122.6841
19.193373,3122.6486
19.246985,3122.6254
19.296645,3122.5794
19.349011,3122.6327
19.401857,3122.6009
19.458025,3122.5511
19.515754,3122.5086
19.572507,3122.5771
19.625672,3122.4919
19.677368,3122.4814
19.731866,3122.5343
19.779378,3122.5094
19.826747,3122.4672
19.87727,3122.5338
19.931008,3122.3842
19.985066,3122.3975
20.044651,3122.4488
20.105968,3122.2843
20.156711,3122.2754
20.205897,3122.2116
20.256966,3122.3012
20.311331,3122.224
20.373083,3122.2389
20.429833,3122.1305
20.481753,3122.1711
20.532126,3122.1451
20.588761,3122.1289
20.639885,3122.0719
20.685979,3122.1189
20.736532,3122.1227
20.786731,3122.0377
20.841517,3121.9838
20.898217,3122.0298
20.959478,3121.9967
21.008133,3121.904
21.069166,3121.941
21.11737,3121.9603
21.163389,3121.8868
21.215522,3121.8701
21.269628,3121.7011
21.323308,3121.7799
21.380898,3121.6742
21.441338,3121.7039
21.496193,3121.639
21.548587,3121.7167
21.599999,3121.6798
21.649661,3121.5871
21.699679,3121.6047
21.749792,3121.6951
21.801925,3121.5819
21.858945,3121.64
21.919613,3121.6215
21.97429,3121.5479
22.027481,3121.5442
22.079513,3121.4626
22.127,3121.5127
22.174354,3121.4188
22.225476,3121.4529
22.286148,3121.4057
22.341686,3121.3758
22.395784,3121.4002
22.449715,3121.3225
22.50338,3121.3302
22.552631,3121.2824
22.596737,3121.2788
22.654192,3121.2237
22.710086,3121.2291
22.763457,3121.3003
22.819027,3121.2071
22.877691,3121.2558
22.929699,3121.229
22.985656,3121.2572
23.034213,3121.199
23.07731,3121.3933
23.129117,3121.3478
23.181484,3121.3662
23.234019,3121.2862
23.296865,3121.2847
23.351052,3121.3111
23.404683,3121.3405
23.460555,3121.5189
23.510745,3121.4054
23.561664,3121.6247
23.611299,3121.5172
23.659952,3121.5361
23.713137,3121.505
23.768347,3121.6827
23.828562,3121.6139
23.879484,3121.6647
23.934747,3121.5675
23.982796,3121.4141
24.030976,3121.4128
24.083426,3121.6325
24.137007,3121.8115
24.198035,3121.7748
